Diet,Phylum,Abeomelomys spMW,Anisomys imitatorFR,Anisomys imitatorMW,Coccymys shawmayeri,Hydromys sp,Hyomys goliath,Leptomys ernstmayri,Lorentzimys highFR,Lorentzimys highMW,Lorentzimys lowFR,Lorentzimys lowMW,Lorentzimys midMW,Macruromys major,Mallomys cf_aroaensis,Mallomys hercules,Mallomys istapantap,Mallomys rothschildi,Melomys low,Melomys midFR,Microhydromys sp,Paramelomys platyopsBAI,Paramelomys platyopsFR,Paramelomys platyopsMW,Paramelomys platyopsWG,Paramelomys rubex_HighFR,Paramelomys rubex_HighMW,Paramelomys rubex_MidFR,Paramelomys rubex_MidMW,Pogonomys cf_sylvestris,Pogonomys loriae,Pogonomys spNorthEastFR,Pogonomys spNorthEastMW,Protochromys fellowsi,Pseudohydromys ellermani,Pseudohydromys fuscus,Rattus exulans,Rattus niobe,Rattus norvegicus,Rattus rattus,Rattus steini,Rattus verecundus,Uromys anak,Uromys cf_caudimaculatus,Uromys sp1
Animal,Annelida,0,0,0,0,0,0,0.025880911,0.000170643,0,0.003024512,0,0,0,0,0,0,0,0.001621648,0,0,0,0,0,0.032444711,0.000458236,0.004920594,0.000115395,0,0.001470799,0,0.001502447,0,0,0.005786514,0,0.001081713,0.033720211,0,0,0.133254633,0.009514327,0,8.15E-05,0.000239517
Animal,Arthropoda,0,0.001708027,0,0.005619621,0.516503744,0,0.047758145,0.001728513,0.010164494,0.002310415,0,0.004459749,0,0.001541284,0,0.004682628,8.84E-05,0.02219271,0.017592482,0.635535524,0,0.005775563,0.00300606,0.007200411,0.038796513,0.009820737,0.03288667,0.062505735,0.007461616,0,0.001377243,0.002990593,0,0.442825442,0.279869012,0.00668519,0.052054263,0,0.00088729,0.010755457,0.007391425,0,0.093049035,0.011386248
Animal,Chordata,0,0,0,0,0.000945203,0,0.010397304,0,0,0.000146482,0,0,0,0,0,0,0,0.000935672,0,0,0,0,0,0,0,0,0.003194942,0.000129862,0,0,0.001677732,0,0,0.040904896,0.107768137,0,4.05E-06,0,0,0,6.39E-05,0,0,0
Animal,Mollusca,0.000252557,0,0,0,0.002039649,0,0,0,0,0,0,0,0,0,0,0,0,0.021053989,0,0,0,0,0.000222671,0,0.001747596,2.43E-05,0.000829786,0,0,0,0,0,0,0,0,0,0.001265805,0,0,0.000884744,0.000406794,0,0,0
Fungi,Ascomycota,0.00147325,0,0,4.26E-05,0,0,0.002246961,0.00056011,0.021305099,0.000604237,0,0.07935343,0,0,0,0,0,0.000312805,0,0,0,0.002262238,0.002178996,0.000514315,0.001025875,0.000777424,0.003054882,0.000155524,0,0,0.00269725,1.39E-05,0,0.001269891,0.000398366,0.00010133,0.000176636,0,2.72E-05,0.000192077,0.001457997,0,0.002579714,0
Fungi,Basidiomycota,0.091248895,0.379996226,0.05464191,0.026714881,0.017461383,0.037176575,0.454968849,0.137682789,0.355353915,0.146579821,0.089763643,0.67426894,0.001535767,0.099327217,0.024320149,0.028887386,0.017697016,0.209074645,0.4465566,0.029898592,0.173126615,0.293924519,0.084050387,0.148658495,0.160292515,0.46491694,0.166670777,0.070680058,0.037164586,0.065721167,0.096238875,0.030715248,0.992718517,0.128835039,0.056635495,0.169985704,0.487786324,0.30523094,0.175856648,0.27537115,0.844874915,0.021781269,0.346109644,0.489885032
Plant,Chlorophyta,0,0,0,0,0,0,0.000857931,0.000100378,0,6.99E-05,0,0,0,0,0,0.002307771,0,0,7.93E-05,0,0,3.43E-05,0,0,0,9.27E-05,0.000142702,0,0,0,0.000164554,0,0,0.004745727,0,0.000573772,0.000857999,0,0,4.50E-05,0.000159105,0,0,0
Plant,Streptophyta,0.907025298,0.618295747,0.94535809,0.967622869,0.463050021,0.962823425,0.457889899,0.859757567,0.613176492,0.847264622,0.910236357,0.24191788,0.998464233,0.899131498,0.975679851,0.964122215,0.982214615,0.74480853,0.53577157,0.334565883,0.826873385,0.698003403,0.910541886,0.811182068,0.797679266,0.519447323,0.793104846,0.866528821,0.953902999,0.934278833,0.8963419,0.966280301,0.007281483,0.375632491,0.55532899,0.821572291,0.424134713,0.69476906,0.823228869,0.579496894,0.136131516,0.978218731,0.558180099,0.498489203
